DATE,TWEXBPA
1975-01-01,93.0373333333333333
1975-04-01,92.6193333333333333
1975-07-01,95.8816000000000000
1975-10-01,96.2696000000000000
1976-01-01,94.8461333333333333
1976-04-01,94.5274000000000000
1976-07-01,94.1180000000000000
1976-10-01,94.5517333333333333
1977-01-01,94.0881000000000000
1977-04-01,93.8278000000000000
1977-07-01,92.7727666666666667
1977-10-01,90.8453333333333333
1978-01-01,88.8677333333333333
1978-04-01,89.0176000000000000
1978-07-01,85.8969000000000000
1978-10-01,85.4289333333333333
1979-01-01,86.8667000000000000
1979-04-01,88.9847666666666667
1979-07-01,88.1211666666666667
1979-10-01,89.6865333333333333
1980-01-01,90.3435666666666667
1980-04-01,90.7977666666666667
1980-07-01,88.3119000000000000
1980-10-01,89.5608333333333333
1981-01-01,91.3960666666666667
1981-04-01,96.2055333333333333
1981-07-01,100.7803666666666667
1981-10-01,97.9461333333333333
1982-01-01,100.7904333333333333
1982-04-01,104.3793666666666667
1982-07-01,109.8755000000000000
1982-10-01,109.3540000000000000
1983-01-01,107.0455333333333333
1983-04-01,109.7110333333333333
1983-07-01,112.5841333333333333
1983-10-01,112.9268666666666667
1984-01-01,113.5285000000000000
1984-04-01,114.9933666666666667
1984-07-01,120.3292000000000000
1984-10-01,122.7942666666666667
1985-01-01,127.0769666666666667
1985-04-01,125.2951000000000000
1985-07-01,121.8670666666666667
1985-10-01,116.6878000000000000
1986-01-01,111.8650000000000000
1986-04-01,107.5694000000000000
1986-07-01,104.9707333333333333
1986-10-01,105.1762000000000000
1987-01-01,101.3849000000000000
1987-04-01,98.6242000000000000
1987-07-01,99.5229000000000000
1987-10-01,95.0953666666666667
1988-01-01,91.9669333333333333
1988-04-01,90.9997666666666667
1988-07-01,94.3669666666666667
1988-10-01,90.9567000000000000
1989-01-01,91.8091333333333333
1989-04-01,94.7034666666666667
1989-07-01,94.8951666666666667
1989-10-01,93.7740333333333333
1990-01-01,93.3053000000000000
1990-04-01,93.4413333333333333
1990-07-01,90.4180000000000000
1990-10-01,87.7265000000000000
1991-01-01,88.2126666666666667
1991-04-01,91.3441666666666667
1991-07-01,90.9961666666666667
1991-10-01,88.1628000000000000
1992-01-01,88.2067666666666667
1992-04-01,88.2060333333333333
1992-07-01,85.6551333333333333
1992-10-01,89.0730333333333333
1993-01-01,90.4702666666666667
1993-04-01,88.2744666666666667
1993-07-01,88.6090000000000000
1993-10-01,89.1595000000000000
1994-01-01,91.0001000000000000
1994-04-01,90.0687333333333333
1994-07-01,87.7824333333333333
1994-10-01,86.9758000000000000
1995-01-01,88.7575333333333333
1995-04-01,84.4302000000000000
1995-07-01,85.5931000000000000
1995-10-01,87.2665666666666667
1996-01-01,88.2386000000000000
1996-04-01,88.5219666666666667
1996-07-01,88.4353333333333333
1996-10-01,88.8665333333333333
1997-01-01,91.1828666666666667
1997-04-01,91.7920333333333333
1997-07-01,93.2749666666666667
1997-10-01,96.6579000000000000
1998-01-01,100.8523333333333333
1998-04-01,101.0245000000000000
1998-07-01,103.5028666666666667
1998-10-01,99.4214000000000000
1999-01-01,99.9497333333333333
1999-04-01,100.9589000000000000
1999-07-01,100.6280333333333333
1999-10-01,99.7803333333333333
2000-01-01,100.9534333333333333
2000-04-01,103.4985333333333333
2000-07-01,104.7390666666666667
2000-10-01,107.5082333333333333
2001-01-01,108.5596666666666667
2001-04-01,110.8370333333333333
2001-07-01,110.4166333333333333
2001-10-01,110.8304000000000000
2002-01-01,112.4118333333333333
2002-04-01,110.5976333333333333
2002-07-01,108.7168333333333333
2002-10-01,109.4864333333333333
2003-01-01,107.2957666666666667
2003-04-01,103.3053666666666667
2003-07-01,103.6121333333333333
2003-10-01,100.3298000000000000
2004-01-01,98.5256333333333333
2004-04-01,100.8079333333333333
2004-07-01,99.9377666666666667
2004-10-01,96.7209000000000000
2005-01-01,95.6467666666666667
2005-04-01,96.8545333333333333
2005-07-01,97.9132666666666667
2005-10-01,98.9375333333333333
2006-01-01,97.4974666666666667
2006-04-01,96.3321333333333333
2006-07-01,96.2815333333333333
2006-10-01,94.7929000000000000
2007-01-01,94.7956000000000000
2007-04-01,92.9323000000000000
2007-07-01,90.9579333333333333
2007-10-01,87.8914666666666667
2008-01-01,86.0388000000000000
2008-04-01,84.5490666666666667
2008-07-01,86.6936666666666667
2008-10-01,93.9242000000000000
2009-01-01,95.8015000000000000
2009-04-01,92.4035333333333333
2009-07-01,89.7562333333333333
2009-10-01,87.6213000000000000
2010-01-01,88.0223000000000000
2010-04-01,88.7381666666666667
2010-07-01,87.4172333333333333
2010-10-01,84.4228333333333333
2011-01-01,83.2162666666666667
2011-04-01,81.2181000000000000
2011-07-01,81.6830000000000000
2011-10-01,84.6148333333333333
2012-01-01,83.8712000000000000
2012-04-01,85.0847333333333333
2012-07-01,84.9637333333333333
2012-10-01,83.7681000000000000
2013-01-01,83.9699333333333333
2013-04-01,84.3427666666666667
2013-07-01,85.1499666666666667
2013-10-01,84.4067000000000000
2014-01-01,85.6147666666666667
2014-04-01,85.0119333333333333
2014-07-01,85.5186000000000000
2014-10-01,88.8581666666666667
2015-01-01,93.3114000000000000
2015-04-01,93.6458666666666667
2015-07-01,96.7921000000000000
2015-10-01,97.9817000000000000
2016-01-01,99.6404666666666667
2016-04-01,97.2845333333333333
2016-07-01,98.1736333333333333
2016-10-01,101.4255333333333333
2017-01-01,101.9828000000000000
2017-04-01,99.2823000000000000
2017-07-01,95.9157000000000000
2017-10-01,96.6466000000000000
2018-01-01,94.6805666666666667
2018-04-01,97.1816333333333333
2018-07-01,99.9593333333333333
2018-10-01,101.6331666666666667
2019-01-01,100.5254666666666667
2019-04-01,101.1611000000000000
2019-07-01,102.1633333333333333
2019-10-01,101.8733666666666667
